ID;GRUPO;PTOS Q10;PTOS Q11
36ab54bb;1;0,8;1
374fbdfd;1;0,6;1
ee2847f2;1;0,6;1
f6f94693;1;0,8;0,5
da59884f;1;0,8;0,5
2fdd5d48;1;0,8;0,5
0a806244;1;0,8;0
3f37dd7c;1;0,8;1
7302714c;1;1;0,5
c3619fad;1;0,6;0
0d54cbbc;1;0,8;0
788623ee;1;0,6;1
3342ed9e;2;0,8;1
c631b170;2;1;1
5d95d45a;2;0,8;0,5
42db7020;2;0,6;0
48bcbde1;2;0,8;0,5
8470df53;2;0,6;0
09705fc7;2;0,8;1
345e3fd3;2;0,4;1
c5ed7019;2;0,8;0
ad457923;2;0,8;1
6e5bd3ef;2;0,6;1
57a31b4d;2;0,2;0,5
394b1345;4;0,6;0
2defa047;4;0,8;0
218de613;4;0,6;0
0cc788e2;4;0,8;1
14eaca5b;4;0,8;0
75102763;4;0,6;1
bd6ea82c;4;0;0
1f15b27b;4;0,8;0
faf06313;4;1;0,5
03bc2477;4;0,6;0
0;3;1;1
4a190a62;3;0,8;1
6ec50385;3;0,8;1
b3e80b02;3;0,8;0
08455c85;3;0,6;0,5
4a8e139a;3;0,6;1
11ce009c;3;0,6;0,5
3d31d63b;3;0,6;0,5
46e4d29b;3;1;0
50e72f51;3;0,8;0
3943cae5;3;0,8;1
bf93c9b5;3;0,8;0
ef1fc63c;3;0,6;0
c3d0bd80;3;0,2;1
