key;grupo;session;k;pontuacao;tempo;plantacao;colheita;predadores_inseridos;predadores_removidos;multas;metas_lancadas;metas_cumpridas;pontuacao-tempo;colheita-plantacao ;meta_cumprida-lancada;respQ10;pontosQ10;respostasQ11;pontosQ11;conhecimento_previo
3342ed9e;2;211;4;2700;430;53;48;14;3;3;0;0;6,30;0,91;0,00;1,3;0,8;AGCB;1;AG
3342ed9e;2;212;3;11385;1709;383;310;64;76;30;9;5;6,70;0,81;0,56;1,3;0,8;AGCB;1;AG
8470df53;2;239;1;360;96;10;10;5;3;0;0;0;3,80;1,00;0,00;3;0,6;ND;0;OF
8470df53;2;240;4;380;414;41;38;16;2;1;0;0;0,90;0,93;0,00;3;0,6;ND;0;OF
8470df53;2;241;4;2430;429;56;51;18;4;0;2;1;5,70;0,91;0,50;3;0,6;ND;0;OF
14eaca5b;4;259;1;150;53;5;5;5;1;1;0;0;2,80;1,00;0,00;1,3;0,8;ND;0;AG
14eaca5b;4;260;4;195;406;33;30;18;12;7;2;2;0,50;0,91;1,00;1,3;0,8;ND;0;AG
345e3fd3;2;261;4;1955;381;41;39;13;13;4;0;0;5,10;0,95;0,00;1,4;0,4;AGCB;1;AG
345e3fd3;2;262;4;140;396;68;52;22;5;7;3;1;0,40;0,76;0,33;1,4;0,4;AGCB;1;AG
5d95d45a;2;263;1;5;41;5;5;1;0;0;0;0;0,10;1,00;0,00;1,3;0,8;AG;0,5;CB
5d95d45a;2;264;3;40;563;181;156;93;12;19;5;3;0,10;0,86;0,60;1,3;0,8;AG;0,5;CB
75102763;4;271;4;1810;409;16;16;2;1;0;0;0;4,40;1,00;0,00;3;0,6;AGCB;1;OF
75102763;4;272;2;190;773;177;99;4;0;0;4;1;0,20;0,56;0,25;3;0,6;AGCB;1;OF
42db7020;2;273;4;400;489;54;49;24;24;3;0;0;0,80;0,91;0,00;3;0,6;ND;0;AG
42db7020;2;274;3;120645;2708;1099;1057;66;71;5;0;0;44,60;0,96;0,00;3;0,6;ND;0;AG
42db7020;2;275;1;120;98;18;11;4;0;1;1;0;1,20;0,61;0,00;3;0,6;ND;0;AG
bd6ea82c;4;300;2;18925;2409;485;426;90;75;2;0;0;7,90;0,88;0,00;2,4;0;ND;0;OF
bd6ea82c;4;303;2;19975;1482;533;421;31;26;8;7;5;13,50;0,79;0,71;2,4;0;ND;0;OF
bd6ea82c;4;305;2;155;606;203;129;28;22;1;4;3;0,30;0,64;0,75;2,4;0;ND;0;OF
09705fc7;2;306;1;80;65;2;2;4;0;1;0;0;1,20;1,00;0,00;1,3;0,8;AGCB;1;AG
09705fc7;2;307;1;60;93;7;4;3;0;0;0;0;0,60;0,57;0,00;1,3;0,8;AGCB;1;AG
09705fc7;2;308;3;17435;861;178;166;22;9;3;0;0;20,20;0,93;0,00;1,3;0,8;AGCB;1;AG
09705fc7;2;309;3;30555;1061;353;313;19;17;6;5;4;28,80;0,89;0,80;1,3;0,8;AGCB;1;AG
394b1345;4;328;3;6595;524;101;84;14;6;2;0;0;12,60;0,83;0,00;3;0,6;ND;0;AG
394b1345;4;330;3;43250;2156;718;654;109;50;48;7;5;20,10;0,91;0,71;3;0,6;ND;0;AG
2defa047;4;331;4;10;379;32;26;10;5;2;5;1;0,00;0,81;0,20;1,3;0,8;ND;0;OF
2defa047;4;332;1;20;130;12;8;3;0;3;1;0;0,20;0,67;0,00;1,3;0,8;ND;0;OF
218de613;4;333;1;400;105;7;7;4;5;1;0;0;3,80;1,00;0,00;3;0,6;ND;0;AG
218de613;4;334;1;1775;271;29;28;9;3;1;0;0;6,50;0,97;0,00;3;0,6;ND;0;AG
0cc788e2;4;335;4;18655;407;166;157;9;8;5;0;0;45,80;0,95;0,00;1,3;0,8;AGCB;1;AG
218de613;4;336;3;2845;787;73;62;23;15;9;8;7;3,60;0,85;0,88;3;0,6;ND;0;AG
0cc788e2;4;337;4;25;313;111;79;24;26;10;3;2;0,10;0,71;0,67;1,3;0,8;AGCB;1;AG
1f15b27b;4;338;1;195;90;8;4;1;0;0;0;0;2,20;0,50;0,00;1,3;0,8;ND;0;CB
48bcbde1;2;339;1;400;98;9;9;6;4;1;0;0;4,10;1,00;0,00;1,3;0,8;AG;0,5;AG
1f15b27b;4;340;3;3335;1531;182;164;59;63;16;0;0;2,20;0,90;0,00;1,3;0,8;ND;0;CB
48bcbde1;2;341;4;35;464;45;37;18;14;1;0;0;0,10;0,82;0,00;1,3;0,8;AG;0,5;AG
c5ed7019;2;342;1;400;158;3;2;3;0;0;0;0;2,50;0,67;0,00;1,3;0,8;ND;0;AG
c5ed7019;2;344;1;400;76;7;7;7;1;1;0;0;5,30;1,00;0,00;1,3;0,8;ND;0;AG
48bcbde1;2;345;3;5;1121;242;194;74;26;19;8;5;0,00;0,80;0,63;1,3;0,8;AG;0,5;AG
c5ed7019;2;350;1;400;136;17;16;7;2;1;1;0;2,90;0,94;0,00;1,3;0,8;ND;0;AG
c5ed7019;2;351;1;400;83;22;15;6;0;2;1;0;4,80;0,68;0,00;1,3;0,8;ND;0;AG
c5ed7019;2;352;1;155;280;42;40;22;17;4;1;1;0,60;0,95;1,00;1,3;0,8;ND;0;AG
1f15b27b;4;356;1;300;70;8;6;5;0;1;1;0;4,30;0,75;0,00;1,3;0,8;ND;0;CB
1f15b27b;4;357;3;10330;957;184;163;33;18;6;5;2;10,80;0,89;0,40;1,3;0,8;ND;0;CB
c631b170;2;373;1;2310;126;31;28;3;0;0;0;0;18,30;0,90;0,00;1;1;AGCB;1;AGCB
c631b170;2;374;4;13630;453;175;163;10;4;2;4;3;30,10;0,93;0,75;1;1;AGCB;1;AGCB
c631b170;2;375;4;1970;248;101;65;7;2;1;3;1;7,90;0,64;0,33;1;1;AGCB;1;AGCB
03bc2477;4;381;1;90;61;5;3;2;1;0;0;0;1,50;0,60;0,00;3;0,6;ND;0;AGCB
ad457923;2;382;1;365;281;15;15;10;3;2;0;0;1,30;1,00;0,00;1,3;0,8;AGCB;1;AG
ad457923;2;383;1;400;124;14;10;7;1;1;2;1;3,20;0,71;0,50;1,3;0,8;AGCB;1;AG
ad457923;2;384;1;35;86;7;5;3;0;0;1;0;0,40;0,71;0,00;1,3;0,8;AGCB;1;AG
ad457923;2;385;1;400;210;12;10;5;4;0;0;0;1,90;0,83;0,00;1,3;0,8;AGCB;1;AG
6e5bd3ef;2;402;1;350;103;21;12;3;0;0;1;0;3,40;0,57;0,00;3;0,6;AGCB;1;CB
6e5bd3ef;2;403;3;400;1036;266;233;59;78;23;6;5;0,40;0,88;0,83;3;0,6;AGCB;1;CB
faf06313;4;407;3;2545;580;92;82;24;26;2;0;0;4,40;0,89;0,00;1;1;AG;0,5;AG
faf06313;4;414;3;400;1414;398;300;37;47;4;7;6;0,30;0,75;0,86;1;1;AG;0,5;AG
57a31b4d;2;429;2;90;101;4;1;0;0;0;0;0;0,90;0,25;0,00;1,3,4;0,2;AG;0,5;AG
